hashtag,username,full_name,is_verified,reel_url,profile_url,views,likes,comments,duration_sec,caption,timestamp,shortcode
food,advice,Motivational & Relatable,False,https://www.instagram.com/reel/DXGWJ_5jlcR/,https://www.instagram.com/advice/,460984,15995,64,131.0,"The happiest customer  📽️: The Founder  The Founder (2016) is a biographical drama film starring Michael Keaton as Ray Kroc, the ruthless salesman who turned McDonald’s into a global fast-food empire ",1776142134,DXGWJ_5jlcR
food,mithila_asmr,Shreyash Gupta,False,https://www.instagram.com/reel/DXG8SbxkzRu/,https://www.instagram.com/mithila_asmr/,333896,1462,12,24.3,Creamy Paneer Rice Bowl . #asmr #food #ricebowl #paneerricebowl,1776161995,DXG8SbxkzRu
food,bhukkad_dairies11,BHUKKAD,False,https://www.instagram.com/reel/DXCq7TpjL61/,https://www.instagram.com/bhukkad_dairies11/,161461,3608,11,14.9,😂🤣 .. . . . . #hungry #treding #food #muttonbiriyani #teastyfood,1776018713,DXCq7TpjL61
food,jaydonwalker,Jaydon Walker,False,https://www.instagram.com/reel/DXGGm3MRQXv/,https://www.instagram.com/jaydonwalker/,127821,10353,61,60.6,Same couple different plate! #couple #couples #food #foodie #fyp,1776133912,DXGGm3MRQXv
food,lezizevtariflerim,Lezzetli Tarifler,False,https://www.instagram.com/reel/DXHAGbnjFPk/,https://www.instagram.com/lezizevtariflerim/,121431,1039,32,50.6,"Tarif:  500 g un  200 g margarin  200 g ekşi krema  3 yumurta sarısı  10 g kabartma tozu  3 yumurta akı  200 g şeker  Üzerine serpmek için pudra şekeri  Sizlere sevgilerimle, canlarım 🫰🏻 #keşfet #food",1776164009,DXHAGbnjFPk
food,three3egg,Three3eggs,False,https://www.instagram.com/reel/DXHO12LGU4E/,https://www.instagram.com/three3egg/,105166,2353,8,28.4,7 Eggs. One by One. No Mistakes. Just Fried Rice. 🍳🔥 Seven eggs. Cracked by hand. No bowl. No shortcuts. Each one drops into hot oil— you hear it build. Carrots. Peas. Garlic. Quick stir. Rice goes in,1776171707,DXHO12LGU4E
fitness,x1_ahmd,𓆰ɪ᪻ͥᷱ᷍𓆪,False,https://www.instagram.com/reel/DXG-R3AsNDC/,https://www.instagram.com/x1_ahmd/,63843,6963,35,19.8,#fitness #motivation #fyp #viralreels #gymreels,1776163042,DXG-R3AsNDC
food,jeanreceitasdp,Jean costa,False,https://www.instagram.com/reel/DXC95lOl5Wq/,https://www.instagram.com/jeanreceitasdp/,56621,5915,166,88.4,Isso aq mata qualquer fome MESMO 🤝🏻  #receitas#pov#food#foryou,1776028661,DXC95lOl5Wq
travel,bosuz26,booss.uz,False,https://www.instagram.com/reel/DXIKXPhCMNE/,https://www.instagram.com/bosuz26/,43988,624,9,6.4,#barselon#fifa #instagram #travel  a futebol #realfood,1776202980,DXIKXPhCMNE
travel,lifeofcharissae,Charissa Enget,False,https://www.instagram.com/reel/DXIP1B1DcUs/,https://www.instagram.com/lifeofcharissae/,34352,2759,32,169.3,"My pottery class was at Lochouse Tea Cafe and Ceramic Workshop ☺️ they had a special this month where a pottery class was only 100,000 dong ($4!). This was a really fun thing to do in Hanoi, Vietnam a",1776205869,DXIP1B1DcUs
food,thevibehouse143,Thevibehouse,False,https://www.instagram.com/reel/DXGpnjKjhgQ/,https://www.instagram.com/thevibehouse143/,29230,599,2,121.6,🥟🍝  #food #momo #fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp #eat #challenge,1776153053,DXGpnjKjhgQ
travel,_sabrina1996,Sabrinaa🍑,False,https://www.instagram.com/reel/DXHaX-Mkm3l/,https://www.instagram.com/_sabrina1996/,24981,649,42,89.0,濟州島攻略來了！ 這次是四天三夜✈️ 如果週五去週一只需要請一天😎✨  大家猜猜看四天三夜✈️ 機+住+吃+門票 這樣要多少錢💸  #濟州島 #jeju #korea #親子 #travel,1776177849,DXHaX-Mkm3l
food,aathmeeyakannadiga,Aathmeeya Kannadiga,False,https://www.instagram.com/reel/DXGfAhjEvAz/,https://www.instagram.com/aathmeeyakannadiga/,16836,852,8,164.1,The Rameshwaram Cafe CEO : ನಮಗೆ ದೇಶವೇ ಮೊದಲು.. | Raghavendra Rao | Aathmeeya Kannadiga  #therameshwaramcafe #raghaveshwaram #raghavendrarao #TheRameshwaramCafe #Raghavendrarao #Leadership #Inspiration ,1776146627,DXGfAhjEvAz
fitness,suriyathecoach,Suriya Singh,False,https://www.instagram.com/reel/DXHAwrYkUFR/,https://www.instagram.com/suriyathecoach/,15797,829,39,41.1,Moon walk🚶 🕺 #calisthenics #instgram #fitnesslife #reel #fitness,1776164884,DXHAwrYkUFR
travel,explorwithshivanand,Explore with Shivanand |Travel and Lifestyle,False,https://www.instagram.com/reel/DXG77ORk7oZ/,https://www.instagram.com/explorwithshivanand/,12433,584,7,15.5,2 Days Perfect Itinerary For “Khatushyam & Salasar” Khatu shyam temple  Salasar Balaji Temple 🛕  video ko pura dekho or acha lage to like karke apne friends or family ko share karna mat bhulna or vide,1776162048,DXG77ORk7oZ
